Title,Category
Access,Core
Customer Voice,Other
Dataverse (for Teams),Collaboration
Delve,Other
Excel,Core
Forms,Collaboration
Lists,Collaboration
OneDrive,Collaboration
OneNote,Core
Outlook - Calendar,Core
Outlook - Email,Core
Outlook - Tasks,Core
Planner,Collaboration
Power Apps - Canvas Apps,Power Platform
Power Apps - Model Driven Apps,Power Platform
Power Apps - Portals,Power Platform
Power Automate - Cloud Flows,Power Platform
Power Automate - Desktop Flows,Power Platform
Power BI - Desktop,Power Platform
Power BI - Premium Workspace,Power Platform
Power BI - Service,Power Platform
Power Query,Power Platform
Power Query - DAX,Power Platform
Power Query - M,Power Platform
Power Virtual Agents,Power Platform
PowerPoint,Core
Project,Core
SharePoint,Collaboration
Stream,Collaboration
Sway,Collaboration
Teams,Collaboration
To Do,Other
Visio,Core
Whiteboard,Collaboration
Word,Core
Yammer,Collaboration
